Comment,Designator,Footprint,JLCPCB Part #
CJ431,D8,SOT23,C3113
100nf50V0603,"C5,C6,C7,C8,C11,C12,C13,C16,C18,C19,C20,C22,C28",0603CAP,C14663
MCP6002,"U2,U10",SOIC-8/150mil,C444396
STM32G431KBU3,U4,QFN50P500X500X60-33N,C1341901
100k1%0603,"R1,R3,R7,R13,R14,R16",0603RES,C25803
EUROPWR-10p,J1,10P_euro_power,C492422
100p0603,C14,0603CAP,C14858
10uF1206,"C3,C15,C21",CAP_1206,C13585
AMS1117-3.3,U15,SOT223-4,C6186
2PHDR,J8,HDR-1x2T/2.54/5x2,C234182
100k0.1%0603,R17,0603RES,C335088
1k1%0603,"R5,R6,R18,R19,R23,R27",0603RES,C21190
60.4k1%0603,"R20,R26",0603RES,C844800
33k1%0603,"R4,R24",0603RES,C269485
TL072,U3,SOIC-8/150mil,C5157710
MMBT3904,Q1,SOT23,C7420353
1n0603,"C10,C17,C23",0603CAP,C1588
10k1%0603,"R8,R21,R25,R43,R44",0603RES,C3152123
1N4148WS,"D1,D2,D10,D11",SOD-323,C2128
33k0.1%0603,R15,0603RES,C705768
WQP-WQP518MA,"J2, J4, J5, J6, J7",WQP-WQP518MA,
RV9012NO-PA25B7.0 Tall Trimmer 10k,"R9, R10",VerticalPot,
PTA2043-2015DPB103,"R11, R12",20mmSlider,
VAOL-3LAE2,D5,3mm LED ,
