Designator,Mid X,Mid Y,Layer,Rotation
C3,24.765,18.097,Bottom,180.0
C5,14.763,101.441,Bottom,0.0
C6,18.891,93.345,Bottom,0.0
C7,19.368,63.183,Bottom,180.0
C8,19.685,60.007,Bottom,90.0
C10,9.684,72.39,Bottom,270.0
C11,21.272,46.775,Bottom,0.0
C12,10.002,84.875,Bottom,180.0
C13,10.795,55.721,Bottom,90.0
C14,26.352,97.472,Bottom,90.0
C15,24.765,27.622,Bottom,0.0
C16,14.764,76.041,Bottom,180.0
C17,19.845,75.18,Bottom,270.0
C18,6.089,46.673,Bottom,0.0
C19,22.123,8.89,Bottom,0.0
C20,6.668,11.43,Bottom,180.0
C21,6.35,25.082,Bottom,0.0
C22,7.2,8.89,Bottom,0.0
C23,6.191,81.439,Bottom,270.0
C28,6.033,28.734,Bottom,180.0
D1,6.974,92.551,Bottom,0.0
D2,26.194,89.376,Bottom,0.0
D5,6.985,96.52,Top,180.0
D8,16.351,85.09,Bottom,180.0
D10,20.003,27.94,Bottom,180.0
D11,20.002,17.78,Bottom,0.0
J1,14.605,22.543,Bottom,180.0
J2,22.225,80.721,Top,180.0
J3,14.605,42.227,Bottom,270.0
J4,22.225,95.961,Top,180.0
J5,22.225,65.481,Top,180.0
J6,6.985,65.481,Top,180.0
J7,6.985,80.721,Top,180.0
J8,2.699,59.372,Bottom,90.0
Q1,26.194,86.519,Bottom,270.0
R1,26.193,92.075,Bottom,0.0
R3,6.032,88.582,Bottom,0.0
R4,3.493,81.439,Bottom,270.0
R5,6.191,57.626,Bottom,0.0
R6,8.255,100.012,Bottom,90.0
R7,18.891,82.13,Bottom,90.0
R8,11.748,87.948,Bottom,270.0
R9,22.225,49.607,Top,0.0
R10,6.985,49.607,Top,0.0
R11,22.225,22.86,Top,90.0
R12,6.985,22.86,Top,90.0
R13,25.4,72.708,Bottom,270.0
R14,24.606,82.073,Bottom,90.0
R15,4.445,72.549,Bottom,270.0
R16,21.749,82.073,Bottom,90.0
R17,4.445,68.422,Bottom,270.0
R18,18.732,89.852,Bottom,90.0
R19,16.668,89.059,Bottom,0.0
R20,23.495,97.472,Bottom,90.0
R21,13.177,54.293,Bottom,180.0
R23,19.05,101.283,Bottom,180.0
R24,25.4,76.2,Bottom,270.0
R25,21.465,66.62,Bottom,270.0
R26,23.815,67.49,Bottom,0.0
R27,4.265,101.38,Bottom,180.0
R43,18.891,85.408,Bottom,270.0
R44,17.938,87.63,Bottom,0.0
U2,11.746,81.28,Bottom,180.0
U3,16.669,97.314,Bottom,0.0
U4,15.716,59.531,Bottom,0.0
U10,14.605,72.39,Bottom,180.0
U15,5.715,18.415,Bottom,90.0
