Comment,Designator,Footprint,LCSC Part #（optional）,
100nf 50V 0603,"C1, C2, C4, C5, C6, C11, C12, C16, C18, C19, C20, C22, C28",0603 CAP,,
10uF 1206,"C3, C15, C21",CAP_1206,,
*RST*,C9,0603 CAP,,
1n 0603,"C10, C17, C23",0603 CAP,,
100p 0603 ,C14,0603 CAP,,
1N4148WS,"D1, D2, D10, D11",SOD-323,,
VAOL-3MAE2,D5,LEDT1,,
LM4040-5V,D12,SOT23,,
EUROPWR-10p,J1,10P_euro_power,,
WQP-PJ398SM,J2,Thonkiconn Jack,,
C37208,J3,HDR-1x6T/2.54/15x2,,
WQP-PJ398SM,J4,Thonkiconn Jack,,
WQP-PJ398SM,J5,Thonkiconn Jack,,
WQP-PJ398SM,J6,Thonkiconn Jack,,
WQP-PJ398SM,J7,Thonkiconn Jack,,
MMBT3904,Q1,SOT23,,
100kΩ 0603 ,"R1, R3, R7, R13, R14, R16, R17",0603 RES,,
10kΩ 0603,"R2, R8, R19, R25",0603 RES,,
33kΩ 0603,"R4, R15, R24",0603 RES,,
1kΩ 0603,"R6, R23, C13",0603 RES,,
RV09AF-40-20K-B10K,R9,EVUF,,
RV09AF-40-20K-B10K,R10,EVUF,,
PTA2053-2015DPB103,R11,PTA2043,,
PTA2053-2015DPB103,R12,PTA2043,,
60.04kΩ 0603,"R20, R26",0603 RES,,
MCP6002-I/SN,"U2, U10",SOIC-8/150mil,,
TL072D,U3,SOIC-8/150mil,,
STM32F334K8,U5,QFP-32/9x9x0.8,,
1117 3.3V,U15,SOT223-4,,
