Designator,Mid X,Mid Y,Layer,Rotation
C1,15.716,66.357,Bottom,90.0
C2,20.955,53.975,Bottom,180.0
C3,25.4,18.098,Bottom,180.0
C4,10.477,65.087,Bottom,0.0
C5,15.398,101.441,Bottom,0.0
C6,19.526,93.345,Bottom,0.0
C9,14.129,66.357,Bottom,90.0
C10,10.319,72.39,Bottom,270.0
C11,21.907,46.775,Bottom,0.0
C12,10.637,84.875,Bottom,180.0
C13,4.901,101.38,Bottom,180.0
C14,26.988,97.472,Bottom,90.0
C15,25.4,27.623,Bottom,0.0
C16,15.399,76.041,Bottom,180.0
C17,20.48,75.18,Bottom,270.0
C18,6.724,46.672,Bottom,0.0
C19,22.758,8.89,Bottom,0.0
C20,7.303,11.43,Bottom,180.0
C21,6.985,25.082,Bottom,0.0
C22,7.835,8.89,Bottom,0.0
C23,6.826,81.439,Bottom,270.0
C28,6.668,28.734,Bottom,180.0
D1,7.609,92.551,Bottom,0.0
D2,26.829,89.376,Bottom,0.0
D5,7.62,96.52,Top,180.0
D10,20.638,27.94,Bottom,180.0
D11,20.637,17.78,Bottom,0.0
D12,15.875,87.789,Bottom,180.0
J1,15.24,22.543,Bottom,180.0
J2,22.86,80.721,Top,180.0
J3,15.24,42.227,Bottom,270.0
J4,22.86,95.961,Top,180.0
J5,22.86,65.481,Top,180.0
J6,7.62,65.481,Top,180.0
J7,7.62,80.721,Top,180.0
Q1,26.829,86.519,Bottom,270.0
R1,26.828,92.075,Bottom,0.0
R2,3.651,59.214,Bottom,270.0
R3,6.667,88.582,Bottom,0.0
R4,4.128,81.439,Bottom,270.0
R6,8.89,100.012,Bottom,90.0
R7,19.526,82.13,Bottom,90.0
R8,12.383,87.948,Bottom,270.0
R9,22.86,49.607,Top,0.0
R10,7.62,49.607,Top,0.0
R11,22.86,22.86,Top,90.0
R12,7.62,22.86,Top,90.0
R13,26.035,72.708,Bottom,270.0
R14,25.241,82.073,Bottom,90.0
R15,5.08,72.549,Bottom,270.0
R16,22.384,82.073,Bottom,90.0
R17,5.08,68.422,Bottom,270.0
R19,20.479,87.788,Bottom,90.0
R20,24.13,97.472,Bottom,90.0
R23,19.685,101.282,Bottom,180.0
R24,26.035,76.2,Bottom,270.0
R25,22.1,66.62,Bottom,270.0
R26,24.45,67.49,Bottom,0.0
U2,12.381,81.28,Bottom,180.0
U3,17.304,97.314,Bottom,0.0
U5,15.24,58.738,Bottom,270.0
U10,15.24,72.39,Bottom,180.0
U15,6.35,18.415,Bottom,90.0
