#,Comment,Designator,Footprint
1,10uF 1206,"C3, C15, C21",CAP_1206
2,100nf 50V 0603,"C5, C6, C7, C8, C11, C12, C13, C16, C18, C19, C20, C22, C28",0603 CAP
4,1n 0603,"C10, C17, C23",0603 CAP
5,100p 0603,C14,0603 CAP
7,1N4148WS,"D1, D2, D10, D11",SOD-323
8,VAOL-3MAE2,D5,LEDT1
9,CJ431,D8,SOT23
10,EUROPWR-10p,J1,10P_euro_power
11,WQP-PJ398SM,"J2, J4, J5, J6, J7",Thonkiconn Jack
12,C37208,J3,HDR-1x6T/2.54/15x2
17,2PHDR,J8,HDR-1x2T/2.54/5x2
18,MMBT3904,Q1,SOT23
19,100k 1% 0603,"R1, R3, R7, R13, R14, R16",0603 RES
20,33k 1% 0603,"R4, R24",0603 RES
21,1k 1% 0603,"R5, R6, R18, R19, R23, R27",0603 RES
22,10k 1% 0603,"R8, R21, R25, R43, R44",0603 RES
23,RV9012NO-PA25B7.0,R9,EVUF
24,RV9012NO-PA25B7.0,R10,EVUF
25,PTA2043-2015DPB103,R11,PTA2043
26,PTA2043-2015DPB103,R12,PTA2043
27,33k 0.1% 0603,R15,0603 RES
28,100k 0.1% 0603,R17,0603 RES
29,60.4k 1% 0603,"R20, R26",0603 RES
31,MCP6002,"U2, U10",SOIC-8/150mil
32,TL072,U3,SOIC-8/150mil
33,STM32G431KBU3,U4,QFN50P500X500X60-33N
35,AMS1117-3.3,U15,SOT223-4
