Designator,Mid X,Mid Y,Layer,Rotation
C1,26.405,105.72,Bottom,180.0
C2,23.865,47.3,Bottom,90.0
C3,33.072,53.65,Bottom,270.0
C4,25.453,16.82,Bottom,180.0
C5,26.087,27.933,Bottom,270.0
C6,34.977,99.37,Bottom,90.0
C7,15.927,37.775,Bottom,0.0
C8,29.58,24.44,Bottom,270.0
C9,13.705,63.175,Bottom,180.0
C10,24.074,96.115,Bottom,90.0
C11,31.167,37.775,Bottom,0.0
C12,27.04,68.255,Bottom,90.0
C13,29.262,75.558,Bottom,0.0
C14,22.913,56.825,Bottom,270.0
C15,30.85,68.255,Bottom,0.0
C16,25.611,92.226,Bottom,90.0
C17,25.344,84.369,Bottom,270.0
C18,20.69,81.59,Bottom,180.0
C19,21.325,59.047,Bottom,90.0
C21,18.785,31.742,Bottom,180.0
D1,31.485,86.352,Bottom,180.0
D2,32.12,93.655,Bottom,0.0
D3,16.88,49.84,Top,0.0
D5,32.12,95.56,Top,180.0
D6,29.58,29.202,Bottom,0.0
D7,29.58,19.995,Bottom,90.0
J3,36.882,56.508,Bottom,270.0
J4,32.12,102.621,Top,180.0
J5,16.88,87.381,Top,180.0
J6,16.88,102.621,Top,180.0
R1,34.025,86.353,Bottom,270.0
R2,31.189,88.893,Bottom,0.0
R3,29.263,53.65,Bottom,180.0
R4,24.183,81.59,Bottom,180.0
R5,29.263,78.732,Bottom,180.0
R6,34.977,96.195,Bottom,90.0
R7,35.295,107.942,Bottom,0.0
R8,24.5,53.333,Bottom,270.0
R9,20.69,49.84,Bottom,180.0
R10,18.785,75.875,Bottom,270.0
R11,17.833,78.732,Bottom,180.0
R12,15.928,75.24,Bottom,180.0
R13,20.69,84.765,Bottom,180.0
R14,27.992,85.003,Bottom,0.0
R15,22.486,96.115,Bottom,90.0
R16,25.77,96.037,Bottom,270.0
R17,22.595,99.37,Bottom,90.0
R19,27.993,83.495,Bottom,180.0
R20,24.5,56.825,Bottom,270.0
R24,23.756,84.369,Bottom,270.0
R25,27.993,57.619,Bottom,180.0
R26,28.945,60.635,Bottom,90.0
U1,25.135,62.54,Bottom,270.0
U2,34.342,23.805,Bottom,180.0
U3,32.12,103.815,Bottom,0.0
U4,29.263,49.84,Bottom,180.0
U5,15.928,57.143,Bottom,180.0
U6,23.548,78.097,Bottom,180.0
U10,21.929,90.163,Bottom,90.0
U15,20.055,26.028,Bottom,270.0
VR1,24.5,13.465,Top,180.0
VR2,16.88,41.028,Top,0.0
VR3,32.12,41.028,Top,0.0
VR4,16.88,71.508,Top,0.0
VR5,32.12,71.508,Top,0.0
VR6,32.12,86.747,Top,0.0
