Designator,Mid X,Mid Y,Layer,Rotation
C1,17.516,86.155,Bottom,270.0
C2,24.977,49.008,Bottom,0.0
C3,10.531,102.583,Bottom,270.0
C4,23.549,72.82,Bottom,90.0
C5,20.056,21.067,Bottom,270.0
C6,13.23,47.738,Bottom,270.0
C7,16.088,69.962,Bottom,180.0
C8,17.834,18.051,Bottom,270.0
C9,24.978,47.738,Bottom,180.0
C10,10.214,47.262,Bottom,270.0
C11,18.627,38.53,Bottom,360.0
C12,2.911,98.855,Bottom,270.0
C13,17.357,100.918,Bottom,90.0
C14,4.816,56.31,Bottom,270.0
C15,10.372,32.974,Bottom,360.0
C16,11.484,95.045,Bottom,180.0
C17,26.724,95.203,Bottom,90.0
D1,24.819,88.219,Bottom,180.0
D2,22.12,89.965,Top,0.0
D3,23.073,82.186,Bottom,270.0
D4,2.118,102.03,Bottom,270.0
D5,22.438,58.774,Top,270.0
D6,19.739,25.195,Bottom,0.0
D7,20.215,15.987,Bottom,90.0
D8,4.975,40.118,Bottom,270.0
J1,6.88,81.786,Top,180.0
J2,22.12,97.026,Top,180.0
J3,22.12,81.786,Top,180.0
J4,6.88,97.026,Top,180.0
Q1,13.547,28.211,Bottom,90.0
Q2,16.087,63.295,Bottom,90.0
Q3,16.088,58.056,Bottom,270.0
Q4,10.055,28.211,Bottom,90.0
Q5,15.135,87.108,Bottom,270.0
Q6,20.374,82.186,Bottom,180.0
Q7,5.293,73.931,Bottom,0.0
Q8,5.769,69.645,Bottom,180.0
R1,12.595,41.229,Bottom,90.0
R2,14.024,41.229,Bottom,270.0
R3,15.611,41.229,Bottom,270.0
R4,15.294,26.624,Bottom,90.0
R5,15.294,30.116,Bottom,90.0
R6,16.881,28.37,Bottom,90.0
R7,11.96,51.865,Bottom,270.0
R8,6.88,56.31,Bottom,270.0
R9,5.134,62.025,Bottom,180.0
R10,6.88,65.913,Top,0.0
R11,1.483,50.436,Bottom,90.0
R12,8.626,62.025,Bottom,180.0
R13,2.753,50.436,Bottom,270.0
R14,11.801,26.624,Bottom,90.0
R15,11.801,30.116,Bottom,90.0
R16,17.675,30.91,Bottom,360.0
R17,18.945,91.235,Bottom,90.0
R18,16.088,60.755,Bottom,180.0
R19,24.978,55.357,Bottom,0.0
R20,18.945,87.901,Bottom,270.0
R21,15.135,89.806,Bottom,180.0
R22,18.945,84.409,Bottom,270.0
R23,15.294,83.774,Bottom,180.0
R24,24.978,54.087,Bottom,0.0
R25,19.421,102.506,Bottom,270.0
R26,24.978,51.547,Bottom,0.0
R27,24.978,52.817,Bottom,0.0
R28,24.978,50.277,Bottom,0.0
R29,17.516,82.821,Bottom,270.0
R30,25.613,83.139,Bottom,0.0
R31,7.833,72.502,Bottom,180.0
R32,12.278,100.76,Bottom,270.0
R33,22.12,69.486,Bottom,90.0
R34,8.309,69.645,Bottom,270.0
R35,4.816,102.03,Bottom,270.0
R36,9.102,102.582,Bottom,270.0
R37,23.39,61.39,Bottom,270.0
R38,3.546,102.03,Bottom,270.0
R39,2.911,95.204,Bottom,90.0
R40,12.278,97.585,Bottom,270.0
R41,22.12,72.82,Bottom,90.0
R42,7.039,44.245,Bottom,90.0
R43,4.816,43.292,Bottom,0.0
R44,2.594,42.34,Bottom,90.0
SW1,22.12,67.105,Top,180.0
U1,7.515,98.061,Bottom,180.0
U2,24.501,19.797,Bottom,180.0
U3,18.628,50.595,Bottom,180.0
U4,14.659,75.519,Bottom,0.0
U5,7.356,52.024,Bottom,0.0
U6,14.5,35.831,Bottom,90.0
U7,22.12,98.061,Bottom,180.0
VR1,14.5,38.35,Top,180.0
VR2,14.5,7.87,Top,180.0
