Comment,Designator,Footprint,LCSC Part #（optional）,
10uF,"C1, C5",CAP_1206,,
100nF,"C2, C3, C6, C7, C9, C10, C11, C12, C14, C15, C17, C18, C19, C20",0603 CAP,,
10uF,C4,0603 CAP,,
*RST*,C8,0603 CAP,,
1n,"C13, C16",0603 CAP,,
1N4148WS,"D1, D2, D3",SOD-323,,
WP937EGW,"D4, D5, D6",LEDT1,,
EUROPWR-10p,J1,10P_euro_power,,
M20-9990646,J2,HDR-1x6T/2.54/15x2,,
Thonkiconn,J3,Thonkiconn Jack,,
Thonkiconn,J4,Thonkiconn Jack,,
Thonkiconn,J5,Thonkiconn Jack,,
Thonkiconn,J6,Thonkiconn Jack,,
MMBT3904,Q1,SOT23,,
10k,R1,0603 RES,,
1k,"R2, R7, R12, R17",0603 RES,,
100k,"R3, R5, R6, R10, R11, R15, R16",0603 RES,,
3.3k,"R4, R8, R14",0603 RES,,
P0915N-EC15BR10K,R9,EVUF,,
P0915N-EC15BR10K,R13,EVUF,,
D6R10F1LFS,"S1, S2, S3",9mm button,,
AMS1117-3.3,U1,SOT223-4,,
STM32F334K8,U2,QFP-32/9x9x0.8,,
TL072D,"U3, U4, U5",SOIC-8/150mil,,
