Designator,Mid X,Mid Y,Layer,Rotation
C1,14.287,23.656,Bottom,180.0
C2,15.557,31.115,Bottom,0.0
C3,10.478,31.115,Bottom,180.0
C4,6.032,31.115,Bottom,0.0
C5,14.287,20.798,Bottom,0.0
C6,14.288,14.922,Bottom,180.0
C7,12.065,64.452,Bottom,90.0
C8,8.255,66.357,Bottom,90.0
C9,10.477,50.324,Bottom,0.0
C10,6.985,63.818,Bottom,270.0
C11,15.24,98.107,Bottom,90.0
C12,6.985,94.933,Bottom,180.0
C13,3.175,98.108,Bottom,270.0
C14,19.685,102.235,Bottom,0.0
C15,15.24,93.028,Bottom,270.0
C16,28.575,97.79,Bottom,270.0
C17,15.977,9.208,Bottom,180.0
C18,15.977,39.053,Bottom,180.0
C19,19.05,84.716,Bottom,0.0
C20,26.567,76.835,Bottom,0.0
D1,20.32,26.353,Bottom,90.0
D2,20.32,18.098,Bottom,90.0
D3,8.572,81.915,Bottom,270.0
D4,7.62,88.9,Top,180.0
D5,22.86,88.9,Top,0.0
D6,22.86,73.66,Top,180.0
J1,24.45,21.91,Bottom,180.0
J2,3.493,42.227,Bottom,90.0
J3,7.62,80.721,Top,180.0
J4,7.62,95.961,Top,180.0
J5,22.86,95.961,Top,180.0
J6,22.86,80.721,Top,180.0
Q1,5.08,82.232,Bottom,180.0
R1,3.016,63.5,Bottom,90.0
R2,10.002,75.89,Bottom,270.0
R3,3.81,86.043,Bottom,180.0
R4,11.747,88.9,Bottom,0.0
R5,3.175,94.298,Bottom,270.0
R6,6.032,98.108,Bottom,270.0
R7,4.128,101.282,Bottom,180.0
R8,19.05,90.487,Bottom,180.0
R9,15.24,6.273,Top,180.0
R10,28.575,93.98,Bottom,270.0
R11,25.73,97.79,Bottom,270.0
R12,27.622,101.282,Bottom,0.0
R13,15.24,36.752,Top,180.0
R14,26.987,73.66,Bottom,0.0
R15,18.098,77.47,Bottom,270.0
R16,18.098,81.598,Bottom,270.0
R17,26.352,86.043,Bottom,0.0
S1,22.86,65.881,Top,90.0
S2,22.86,50.641,Top,90.0
S3,7.62,65.881,Top,90.0
U1,6.985,25.082,Bottom,270.0
U2,10.001,56.833,Bottom,270.0
U3,11.43,96.203,Bottom,90.0
U4,19.05,96.215,Bottom,90.0
U5,23.018,81.597,Bottom,180.0
