Designator,Mid X,Mid Y,Layer,Rotation
C1,26.087,27.933,Bottom,270.0
C2,18.785,31.742,Bottom,180.0
C3,29.58,24.44,Bottom,270.0
C4,34.977,99.37,Bottom,90.0
C5,20.69,76.669,Bottom,270.0
C6,25.611,92.226,Bottom,90.0
C7,26.405,105.72,Bottom,180.0
C8,25.77,83.654,Bottom,180.0
C9,22.278,68.414,Bottom,270.0
C10,24.074,96.115,Bottom,90.0
C11,31.167,52.697,Bottom,0.0
C12,31.167,37.775,Bottom,0.0
C13,21.643,65.08,Bottom,270.0
C14,25.453,16.661,Bottom,180.0
C15,15.134,59.365,Bottom,180.0
C16,23.865,62.54,Bottom,90.0
C17,33.072,68.89,Bottom,270.0
D1,29.58,29.202,Bottom,0.0
D2,30.85,86.987,Bottom,180.0
D3,29.58,19.995,Bottom,90.0
D4,31.961,94.29,Bottom,0.0
D5,32.12,95.56,Top,180.0
J1,34.342,23.805,Bottom,180.0
J2,32.12,102.621,Top,180.0
J3,16.88,102.621,Top,180.0
J4,36.882,71.747,Bottom,270.0
R1,34.819,87.305,Bottom,270.0
R2,30.056,89.369,Bottom,0.0
R3,27.517,86.987,Bottom,180.0
R4,34.977,96.195,Bottom,90.0
R5,24.5,68.573,Bottom,270.0
R6,24.5,72.065,Bottom,270.0
R7,27.993,72.859,Bottom,180.0
R8,28.945,75.875,Bottom,90.0
R9,35.295,107.942,Bottom,0.0
R10,23.23,82.225,Bottom,180.0
R11,20.532,80.638,Bottom,180.0
R12,22.595,99.37,Bottom,90.0
R13,22.486,96.115,Bottom,90.0
R14,25.77,96.037,Bottom,270.0
R15,29.263,68.89,Bottom,180.0
U1,20.055,26.028,Bottom,270.0
U2,32.12,103.815,Bottom,0.0
U3,25.135,77.78,Bottom,270.0
U4,21.929,90.163,Bottom,90.0
U5,17.197,53.015,Bottom,180.0
U6,29.263,65.08,Bottom,180.0
VR1,24.5,87.94,Top,180.0
VR2,24.5,13.465,Top,180.0
VR3,32.12,56.268,Top,0.0
VR4,32.12,41.028,Top,0.0
VR5,16.88,71.508,Top,0.0
