Comment,Designator,Footprint,LCSC Part #（optional）
100nf 50v,"C1, C2, C4, C6_1, C6_2, C6_3, C6_4, C7_1, C7_2, C7_3, C7_4",0603 CAP,
10uF 50v,"C3, C5",CAP_1206,
1N4148WS,"D1, D3, D5_1, D5_2, D5_3, D5_4, D6_1, D6_2, D6_3, D6_4, D7_1, D7_2, D7_3, D7_4",SOD-323,
LM4040 5V,D2,SOT23,
VAOL-3LAE2,"D4_1, D4_2, D4_3, D4_4",LEDT1,
WQP-WQP518MA,"J1, J3, J4_1, J4_2, J4_3, J4_4",Thonkiconn Jack,
EUROPWR-10p,J2,IDC2X5M,
P0915N-EC15BR100K,"R1, R5",P09x5N,
100kΩ 0603,"R7, R8, R9, R10, R11, R12, R13, R14, R16_1, R16_2, R16_3, R16_4, R17_1, R17_2, R17_3, R17_4, R19_1, R19_2, R19_3, R19_4, R22_1, R22_2, R22_3, R22_4, R23_1, R23_2, R23_3, R23_4, R24_1, R24_2, R24_3, R24_4",RES_0603,
86.6kΩ 0603,"R2, R4, R6",,
6.8kΩ 0603,R3,RES_0603,
2kΩ 0603,"R15_1, R15_2, R15_3, R15_4",RES_0603,
20kΩ 0603,"R18_1, R18_2, R18_3, R18_4, R21_1, R21_2, R21_3, R21_4",RES_0603,
220Ω 0603,"R20_1, R20_2, R20_3, R20_4",RES_0603,
TL072CD,U1,SOIC-8/150mil,
TL074PW,"U2_1, U2_2, U2_3, U2_4",TSSOP-14,
