Designator,Mid X,Mid Y,Layer,Rotation
C1,28.477,58.698,Bottom,180.0
C2,21.174,65.842,Bottom,180.0
C3,33.239,34.568,Bottom,270.0
C4,17.682,38.378,Bottom,90.0
C5,33.239,27.742,Bottom,270.0
C6_1,12.126,92.036,Bottom,270.0
C6_2,12.126,107.276,Bottom,270.0
C6_3,27.366,107.276,Bottom,270.0
C6_4,27.366,92.036,Bottom,270.0
C7_1,21.809,89.495,Bottom,270.0
C7_2,21.809,104.418,Bottom,270.0
C7_3,37.049,104.418,Bottom,270.0
C7_4,37.049,89.495,Bottom,270.0
D1,29.747,36.155,Bottom,180.0
D2,14.189,38.378,Bottom,180.0
D3,29.906,25.996,Bottom,0.0
D4_1,16.888,82.828,Top,0.0
D4_2,16.888,98.068,Top,0.0
D4_3,32.128,98.068,Top,0.0
D4_4,32.128,82.828,Top,0.0
D5_1,19.428,86.797,Bottom,270.0
D5_2,19.428,102.037,Bottom,270.0
D5_3,34.668,102.037,Bottom,270.0
D5_4,34.668,86.797,Bottom,270.0
D6_1,21.333,98.703,Bottom,0.0
D6_2,16.888,112.673,Bottom,0.0
D6_3,32.128,112.673,Bottom,0.0
D6_4,36.573,98.703,Bottom,0.0
D7_1,14.03,94.576,Bottom,0.0
D7_2,14.03,109.816,Bottom,0.0
D7_3,29.271,109.816,Bottom,0.0
D7_4,29.271,94.576,Bottom,0.0
J1,16.888,75.208,Top,180.0
J2,24.508,31.076,Bottom,270.0
J3,32.128,75.208,Top,180.0
J4_1,16.888,90.448,Top,180.0
J4_2,16.888,105.688,Top,180.0
J4_3,32.128,105.688,Top,180.0
J4_4,32.128,90.448,Top,180.0
R1,24.508,44.728,Top,180.0
R2,24.508,49.014,Bottom,90.0
R3,32.287,39.331,Bottom,180.0
R4,29.27,79.812,Bottom,180.0
R5,24.508,14.248,Top,180.0
R6,24.508,18.375,Bottom,270.0
R7,19.745,61.079,Bottom,270.0
R8,20.698,58.539,Bottom,0.0
R9,30.064,62.667,Bottom,270.0
R10,31.691,75.684,Bottom,360.0
R11,28.08,75.684,Bottom,360.0
R12,24.468,75.684,Bottom,360.0
R13,20.857,75.684,Bottom,360.0
R14,17.245,75.684,Bottom,360.0
R15_1,13.237,82.828,Bottom,0.0
R15_2,13.237,98.068,Bottom,0.0
R15_3,28.477,98.068,Bottom,0.0
R15_4,28.477,82.828,Bottom,0.0
R16_1,13.396,85.686,Bottom,90.0
R16_2,13.396,100.926,Bottom,90.0
R16_3,28.636,100.926,Bottom,90.0
R16_4,28.636,85.686,Bottom,90.0
R17_1,12.126,89.019,Bottom,270.0
R17_2,12.126,104.259,Bottom,270.0
R17_3,27.366,104.259,Bottom,270.0
R17_4,27.366,89.019,Bottom,270.0
R18_1,21.333,96.322,Bottom,270.0
R18_2,21.333,111.244,Bottom,270.0
R18_3,36.573,111.244,Bottom,270.0
R18_4,36.573,96.322,Bottom,270.0
R19_1,21.809,92.988,Bottom,90.0
R19_2,21.809,107.911,Bottom,90.0
R19_3,37.049,107.911,Bottom,90.0
R19_4,37.049,92.988,Bottom,90.0
R20_1,22.603,96.322,Bottom,90.0
R20_2,22.603,111.244,Bottom,90.0
R20_3,37.843,111.244,Bottom,90.0
R20_4,37.843,96.322,Bottom,90.0
R21_1,14.031,96.322,Bottom,0.0
R21_2,14.031,111.562,Bottom,0.0
R21_3,29.271,111.562,Bottom,0.0
R21_4,29.271,96.322,Bottom,0.0
R22_1,11.967,85.686,Bottom,90.0
R22_2,11.967,100.926,Bottom,90.0
R22_3,27.207,100.926,Bottom,90.0
R22_4,27.207,85.686,Bottom,90.0
R23_1,20.063,96.322,Bottom,270.0
R23_2,20.063,111.244,Bottom,270.0
R23_3,35.303,111.244,Bottom,270.0
R23_4,35.303,96.322,Bottom,270.0
R24_1,14.824,85.686,Bottom,90.0
R24_2,14.824,100.926,Bottom,90.0
R24_3,30.064,100.926,Bottom,90.0
R24_4,30.064,85.686,Bottom,90.0
U1,24.826,62.508,Bottom,0.0
U2_1,16.888,90.924,Bottom,0.0
U2_2,16.888,106.164,Bottom,0.0
U2_3,32.128,106.164,Bottom,0.0
U2_4,32.128,90.924,Bottom,0.0
