Comment,Designator,Footprint,LCSC Part #（optional）
10uF 50v 0603,"C1, C2",CAP_1206,
100nF 50v 0603,"C3, C4, C5, C6, C7, C8, C9, C10, C11, C12",0603 CAP,
10pF 50v 0603,"C13, C14, C15, C16",0603 CAP,
220pF 50v 0603,"C17, C18, C19, C20",0603 CAP,
560pF 50v 0603,"C21, C22, C23, C24",0603 CAP,
1N4148WS,"D1, D4, D5, D6, D7, D8, D9, D10",SOD-323,
LM4040-10V,D2,SOT23,
5819W,D3,SOD-123,
VAOL-3LAE2,"D11, D12",LEDT1,
BZT52C4V7,"D13, D14, D15, D16",SOD-123,
M20-9980545,J1,IDC2X5M,
WQP-WQP518MA,"J2, J3, J4, J5, J6, J7, J8, J9, J10, J11, J12, J13",Thonkiconn Jack,
150Ω 0603,R1,0603 RES,
30kΩ 0603 0.1%,"R2, R5",0603 RES,
100kΩ 0603,"R3, R4, R6, R7, R16, R17, R18, R19, R22, R23, R24, R25, R38, R39",0603 RES,
51kΩ 0603,"R43, R50",0603 RES,
1kΩ 0603,"R8, R9, R10, R11, R12, R13, R14, R15, R46, R53",0603 RES,
30kΩ 0603,"R20, R21, R26, R27",0603 RES,
510Ω 0603,"R28, R29, R30, R31",0603 RES,
1M 0603,"R32, R33",0603 RES,
P0915N-EC15BR100K,"R34, R35, R42, R44, R49, R51",P09x5N,
10kΩ 0603,"R36, R37",0603 RES,
1kΩ 0603 0.1%,"R40, R47",0603 RES,
150kΩ 0603 0.1%,"R41, R48",0603 RES,
75kΩ 0603,"R45, R52",0603 RES,
TL072D,U2,SOIC-8/150mil,
V2164,U3,SOIC-16/150mil,
TL074PW,"U1, U4, U5",TSSOP-14,
