Designator,Mid X,Mid Y,Layer,Rotation
C1,22.225,24.023,Bottom,90.0
C2,22.225,13.759,Bottom,270.0
C3,28.779,71.755,Bottom,180.0
C4,29.107,59.055,Bottom,0.0
C5,58.205,64.135,Bottom,180.0
C6,25.717,86.201,Bottom,0.0
C7,36.297,46.99,Bottom,180.0
C8,16.295,64.135,Bottom,180.0
C9,44.654,64.135,Bottom,180.0
C10,30.798,78.264,Bottom,180.0
C11,24.55,46.99,Bottom,180.0
C12,3.073,64.135,Bottom,180.0
C13,3.175,71.755,Bottom,0.0
C14,14.446,77.153,Bottom,0.0
C15,58.42,71.12,Bottom,180.0
C16,44.291,76.042,Bottom,270.0
C17,16.295,67.945,Bottom,180.0
C18,15.66,61.278,Bottom,180.0
C19,44.665,67.627,Bottom,0.0
C20,44.665,61.278,Bottom,0.0
C21,3.186,77.629,Bottom,0.0
C22,11.01,72.707,Bottom,0.0
C23,58.318,77.47,Bottom,180.0
C24,50.585,72.707,Bottom,180.0
D1,22.225,18.938,Bottom,270.0
D2,13.132,16.84,Bottom,180.0
D3,17.78,18.779,Bottom,270.0
D4,23.177,7.732,Bottom,90.0
D5,26.875,42.227,Bottom,180.0
D6,34.085,42.227,Bottom,0.0
D7,26.875,40.005,Bottom,0.0
D8,34.085,40.005,Bottom,180.0
D9,12.065,83.82,Bottom,270.0
D10,49.212,83.979,Bottom,270.0
D11,15.24,86.36,Top,90.0
D12,45.72,86.36,Top,90.0
D13,16.919,70.168,Bottom,180.0
D14,16.919,72.707,Bottom,180.0
D15,44.245,69.532,Bottom,0.0
D16,44.245,72.073,Bottom,0.0
J1,30.48,13.97,Bottom,270.0
J2,53.34,93.421,Top,180.0
J3,38.1,93.421,Top,180.0
J4,38.1,78.181,Top,180.0
J5,53.34,78.181,Top,180.0
J6,38.1,62.941,Top,180.0
J7,53.34,62.941,Top,180.0
J8,22.86,93.421,Top,180.0
J9,7.62,93.421,Top,180.0
J10,7.62,78.181,Top,180.0
J11,22.86,78.181,Top,180.0
J12,7.62,62.941,Top,180.0
J13,22.86,62.941,Top,180.0
R1,17.043,13.97,Bottom,0.0
R2,26.137,36.83,Bottom,180.0
R3,26.567,52.387,Bottom,0.0
R4,28.472,55.563,Bottom,0.0
R5,34.822,37.148,Bottom,0.0
R6,34.075,52.705,Bottom,180.0
R7,32.17,55.563,Bottom,180.0
R8,55.88,80.963,Bottom,270.0
R9,34.925,98.743,Bottom,180.0
R10,50.007,98.743,Bottom,180.0
R11,18.733,85.407,Bottom,180.0
R12,10.795,98.743,Bottom,0.0
R13,18.733,98.743,Bottom,180.0
R14,15.357,82.233,Bottom,270.0
R15,45.72,82.55,Bottom,270.0
R16,6.667,85.407,Bottom,0.0
R17,3.651,85.407,Bottom,0.0
R18,3.652,82.391,Bottom,180.0
R19,3.278,67.31,Bottom,180.0
R20,3.186,70.168,Bottom,0.0
R21,14.389,74.612,Bottom,0.0
R22,38.894,85.407,Bottom,180.0
R23,41.434,83.344,Bottom,180.0
R24,41.433,80.962,Bottom,0.0
R25,58.317,66.992,Bottom,0.0
R26,58.42,69.85,Bottom,180.0
R27,46.888,74.295,Bottom,180.0
R28,3.186,75.089,Bottom,0.0
R29,11.011,75.565,Bottom,180.0
R30,58.318,75.089,Bottom,180.0
R31,50.584,75.565,Bottom,0.0
R32,11.432,67.945,Bottom,180.0
R33,48.792,67.627,Bottom,0.0
R34,15.24,34.745,Top,180.0
R35,45.72,34.745,Top,180.0
R36,14.502,36.83,Bottom,0.0
R37,44.665,36.195,Bottom,0.0
R38,9.842,70.168,Bottom,0.0
R39,50.585,70.168,Bottom,180.0
R40,40.164,56.515,Bottom,270.0
R41,42.386,53.023,Bottom,0.0
R42,45.72,49.985,Top,180.0
R43,46.673,57.785,Bottom,180.0
R44,45.72,4.265,Top,180.0
R45,44.768,11.748,Bottom,180.0
R46,46.99,6.35,Bottom,0.0
R47,10.478,57.309,Bottom,180.0
R48,10.001,55.721,Bottom,0.0
R49,15.24,49.985,Top,180.0
R50,16.193,57.468,Bottom,180.0
R51,15.24,4.265,Top,180.0
R52,14.288,11.748,Bottom,180.0
R53,18.415,6.032,Bottom,180.0
U1,30.438,46.945,Bottom,180.0
U2,29.21,82.709,Bottom,180.0
U3,30.632,65.075,Bottom,180.0
U4,9.482,64.09,Bottom,180.0
U5,51.075,64.09,Bottom,180.0
