Comment,Designator,Footprint,LCSC Part #（optional）,
10uF,"C1, C3",CAP_1206,,
100nF,"C5, C6, C9, C10, C11, C12",0603 CAP,,
CJ431,D1,SOT23,,
1N4148WS,"D2, D3, D4, D6",SOD-323,,
LEDT1,D5,LEDT1,,
WQP-PJ301M-12,J1,Thonkiconn Jack,,
WQP-PJ301M-12,J2,Thonkiconn Jack,,
WQP-PJ301M-12,J3,Thonkiconn Jack,,
WQP-PJ301M-12,J4,Thonkiconn Jack,,
EUROPWR-10p,J5,10P_euro_power,,
SMT_LM13700,OTA1,SOIC-16/150mil,,
MMBT3906,Q1,SOT23,,
100k,"R1, R3, R6, R10, R12, R14, R16",0603 RES,,
1k,"R8, R15, R17",0603 RES,,
10k,"R4, R7, R9, R11",0603 RES,,
1.5k,"R18, R2",0603 RES,,
RV09AF-40-20K-B10K,"R5, R13",EVUF,,
TL072D,"U2, U6",SOIC-8/150mil,,
PTA2043,U5,PTA2043,,
PTA2043,U7,PTA2043,,
