Designator,Mid X,Mid Y,Layer,Rotation
C1,32.292,30.955,Bottom,270.0
C3,24.99,17.302,Bottom,90.0
C5,28.482,79.532,Bottom,0.0
C6,24.99,68.42,Bottom,180.0
C9,12.925,82.707,Bottom,90.0
C10,24.672,83.66,Bottom,0.0
C11,15.465,105.567,Bottom,0.0
C12,20.545,96.995,Bottom,180.0
D1,25.942,45.877,Bottom,180.0
D2,29.753,35.083,Bottom,180.0
D3,28.8,22.7,Bottom,270.0
D4,26.578,100.488,Bottom,90.0
D5,32.61,96.36,Top,180.0
D6,32.61,98.265,Bottom,0.0
J1,32.61,88.181,Top,180.0
J2,32.61,72.941,Top,180.0
J3,17.37,72.941,Top,180.0
J4,32.051,103.98,Top,90.0
J5,24.99,29.685,Bottom,180.0
OTA1,18.005,85.565,Bottom,180.0
Q1,28.165,107.473,Bottom,0.0
R1,29.435,65.88,Bottom,0.0
R2,24.99,85.883,Bottom,180.0
R3,18.005,54.45,Bottom,0.0
R4,28.165,48.417,Bottom,0.0
R5,17.37,57.067,Top,0.0
R6,19.808,47.148,Bottom,0.0
R7,26.895,50.958,Bottom,270.0
R8,32.292,38.893,Bottom,270.0
R9,29.117,83.025,Bottom,0.0
R10,22.45,104.933,Bottom,0.0
R11,22.45,108.425,Bottom,180.0
R12,36.738,30.002,Bottom,90.0
R13,32.61,57.067,Top,0.0
R14,33.88,102.71,Bottom,180.0
R15,36.42,91.598,Bottom,180.0
R16,31.975,54.45,Bottom,180.0
R17,12.925,98.9,Bottom,90.0
R18,15.782,21.85,Bottom,270.0
U2,27.847,73.5,Bottom,90.0
U5,17.37,30.32,Top,90.0
U6,18.957,100.487,Bottom,180.0
U7,32.61,30.32,Top,90.0
