Designator,Mid X,Mid Y,Layer,Rotation
C1,38.892,39.528,Bottom,0.0
C2,39.21,15.715,Bottom,180.0
C3,44.925,104.615,Bottom,180.0
C4,37.305,51.751,Bottom,180.0
C5,32.543,104.615,Bottom,180.0
C6,41.115,44.607,Bottom,180.0
C10_1,20.477,36.352,Bottom,0.0
C10_2,51.91,37.305,Bottom,270.0
C11_1,21.271,23.494,Bottom,270.0
C11_2,51.91,23.018,Bottom,270.0
C12_1,14.445,24.922,Bottom,0.0
C12_2,44.925,25.24,Bottom,0.0
C13_1,22.065,95.09,Bottom,0.0
C13_2,52.545,95.09,Bottom,0.0
C14_1,14.445,33.495,Bottom,0.0
C14_2,45.242,33.813,Bottom,0.0
C15_1,37.623,88.422,Bottom,90.0
C15_2,67.15,91.915,Bottom,270.0
C16_1,25.24,88.105,Bottom,270.0
C16_2,56.355,88.105,Bottom,270.0
C17_1,30.162,29.685,Bottom,180.0
C17_2,60.8,29.685,Bottom,180.0
C18_1,33.337,25.081,Bottom,180.0
C18_2,64.293,24.922,Bottom,180.0
C19_1,25.875,95.09,Bottom,180.0
C19_2,56.355,95.09,Bottom,180.0
C20_1,33.337,33.654,Bottom,180.0
C20_2,64.293,33.495,Bottom,180.0
C7_1,22.7,88.105,Bottom,90.0
C7_2,52.863,88.105,Bottom,90.0
C8_1,11.587,90.327,Bottom,90.0
C8_2,39.527,88.423,Bottom,270.0
C9_1,17.778,29.685,Bottom,0.0
C9_2,48.417,30.002,Bottom,0.0
D1,38.893,37.305,Bottom,180.0
D2,50.958,46.671,Bottom,0.0
D3,44.29,21.748,Bottom,180.0
D4,39.21,19.049,Bottom,0.0
D10_1,31.59,96.36,Top,0.0
D10_2,62.07,96.36,Top,0.0
D11_1,26.51,83.343,Bottom,0.0
D11_2,57.307,82.707,Bottom,0.0
D12_1,26.51,80.802,Bottom,0.0
D12_2,57.307,80.802,Bottom,0.0
D5_1,13.492,94.772,Bottom,270.0
D5_2,43.972,95.407,Bottom,270.0
D6_1,16.35,96.36,Top,180.0
D6_2,46.83,96.36,Top,180.0
D7_1,21.113,82.707,Bottom,180.0
D7_2,51.91,82.707,Bottom,180.0
D8_1,21.113,80.802,Bottom,180.0
D8_2,51.91,80.802,Bottom,180.0
D9_1,34.447,95.09,Bottom,270.0
D9_2,64.927,95.09,Bottom,270.0
J1_1,16.35,88.181,Top,180.0
J1_2,46.83,88.181,Top,180.0
J2_1,16.35,72.941,Top,180.0
J2_2,46.83,72.941,Top,180.0
J3_1,16.35,103.421,Top,180.0
J3_2,46.83,103.421,Top,180.0
J4_1,31.59,88.181,Top,180.0
J4_2,62.07,88.181,Top,180.0
J5_1,31.59,72.941,Top,180.0
J5_2,62.07,72.941,Top,180.0
J6_1,31.59,103.421,Top,180.0
J6_2,62.07,103.421,Top,180.0
R1,48.735,49.211,Bottom,0.0
R2,41.115,51.751,Bottom,180.0
R3,33.177,48.576,Bottom,0.0
R4,47.782,46.671,Bottom,90.0
R5,47.465,43.972,Bottom,180.0
R6,21.43,101.757,Bottom,0.0
R7,35.082,107.79,Bottom,0.0
R8,32.542,102.71,Bottom,0.0
R9,24.922,101.122,Bottom,90.0
R10,35.082,100.805,Bottom,0.0
R11,53.498,99.852,Bottom,90.0
R12,44.925,103.027,Bottom,180.0
R13,43.02,100.805,Bottom,180.0
R14,55.402,102.392,Bottom,90.0
R15_1,19.525,94.138,Bottom,270.0
R15_2,50.005,94.138,Bottom,270.0
R16_1,17.938,17.302,Bottom,90.0
R16_2,49.37,20.477,Bottom,0.0
R17_1,17.779,26.669,Bottom,180.0
R17_2,48.418,26.828,Bottom,180.0
R18_1,17.779,24.922,Bottom,180.0
R18_2,48.418,25.24,Bottom,180.0
R19_1,18.573,98.9,Bottom,270.0
R19_2,49.529,98.583,Bottom,270.0
R20_1,17.778,28.097,Bottom,0.0
R20_2,48.417,28.415,Bottom,0.0
R21_1,17.778,32.066,Bottom,0.0
R21_2,48.417,32.225,Bottom,0.0
R22_1,13.175,78.263,Bottom,180.0
R22_2,43.655,78.263,Bottom,180.0
R23_1,12.54,84.295,Bottom,0.0
R23_2,42.702,84.93,Bottom,0.0
R24_1,13.492,82.073,Bottom,270.0
R24_2,43.655,82.39,Bottom,270.0
R25_1,22.065,92.233,Bottom,180.0
R25_2,52.545,92.233,Bottom,180.0
R26_1,21.113,106.52,Bottom,90.0
R26_2,51.593,105.567,Bottom,90.0
R27_1,18.255,53.498,Bottom,0.0
R27_2,49.052,53.498,Bottom,0.0
R28_1,17.779,33.495,Bottom,180.0
R28_2,48.418,33.813,Bottom,180.0
R29_1,16.35,56.785,Top,0.0
R29_2,46.83,56.785,Top,0.0
R30_1,14.445,53.498,Bottom,0.0
R30_2,44.607,53.498,Bottom,0.0
R31_1,28.732,94.138,Bottom,270.0
R31_2,59.212,93.82,Bottom,270.0
R32_1,32.384,16.826,Bottom,180.0
R32_2,61.118,21.113,Bottom,180.0
R33_1,30.161,26.51,Bottom,0.0
R33_2,60.8,26.51,Bottom,0.0
R34_1,30.161,25.081,Bottom,0.0
R34_2,60.8,24.922,Bottom,0.0
R35_1,28.097,98.9,Bottom,270.0
R35_2,58.577,98.583,Bottom,270.0
R36_1,30.162,28.097,Bottom,180.0
R36_2,60.8,28.097,Bottom,180.0
R37_1,30.162,32.066,Bottom,180.0
R37_2,60.8,31.907,Bottom,180.0
R38_1,34.765,78.263,Bottom,0.0
R38_2,65.245,78.263,Bottom,0.0
R39_1,35.4,84.612,Bottom,180.0
R39_2,65.88,84.612,Bottom,180.0
R40_1,34.447,82.073,Bottom,270.0
R40_2,64.927,82.39,Bottom,270.0
R41_1,25.875,92.233,Bottom,0.0
R41_2,56.355,92.233,Bottom,0.0
R42_1,26.192,106.52,Bottom,90.0
R42_2,56.99,105.567,Bottom,90.0
R43_1,33.495,53.656,Bottom,0.0
R43_2,64.292,53.498,Bottom,0.0
R44_1,30.161,33.654,Bottom,0.0
R44_2,60.8,33.495,Bottom,0.0
R45_1,31.59,56.785,Top,0.0
R45_2,62.07,56.785,Top,0.0
R46_1,29.685,53.656,Bottom,0.0
R46_2,59.847,53.498,Bottom,0.0
U1,39.21,48.1,Bottom,180.0
U2,39.21,29.355,Bottom,180.0
U3,38.892,104.615,Bottom,180.0
U4_1,16.35,30.32,Top,90.0
U4_2,46.83,30.32,Top,90.0
U5_1,23.97,30.32,Bottom,180.0
U5_2,54.45,30.32,Bottom,180.0
U6_1,16.35,89.375,Bottom,180.0
U6_2,46.83,89.375,Bottom,180.0
U7_1,31.59,30.32,Top,90.0
U7_2,62.07,30.32,Top,90.0
U8_1,31.59,89.375,Bottom,180.0
U8_2,62.07,89.375,Bottom,180.0
