Comment,Designator,Footprint,LCSC Part #（optional）
10uF 1206,"C1, C2",CAP_1206,
100nF 0603,"C3, C4, C5, C6, C7_1, C7_2, C8_1, C8_2, C10_1, C10_2, C11_1, C11_2, C15_1, C15_2, C16_1, C16_2",0603 CAP,
100p 0603,"C9_1, C9_2, C13_1, C13_2, C17_1, C17_2, C19_1, C19_2",0603 CAP,
560p 0603,"C12_1, C12_2, C14_1, C14_2, C18_1, C18_2, C20_1, C20_2",0603 CAP,
1N4148WS,"D1, D4, D7_1, D7_2, D8_1, D8_2, D11_1, D11_2, D12_1, D12_2",SOD-323,
DNP,"D5_1, D5_2, D9_1, D9_2",SOD-323,
CJ431,D2,SOT23,
1N5819WS,D3,SOD-323,
VAOL-3LAE2,"D6_1, D6_2, D10_1, D10_2",LEDT1,
WQP-WQP518MA,"J1_1, J1_2, J4_1, J4_2",Thonkiconn Jack,
WQP-WQP518MA,"J2_1, J2_2, J5_1, J5_2",Thonkiconn Jack,
WQP-WQP518MA,"J3_1, J3_2, J6_1, J6_2",Thonkiconn Jack,
100kΩ 1% 0603,"R2, R3, R6, R7, R8, R10, R12, R13, R15_1, R15_2, R16_1, R16_2, R17_1, R17_2, R22_1, R22_2, R23_1, R23_2, R27_1, R27_2, R30_1, R30_2, R31_1, R31_2, R32_1, R32_2, R33_1, R33_2, R38_1, R38_2, R39_1, R39_2, R43_1, R43_2, R46_1, R46_2",0603 RES,
10kΩ 1% 0603,"R4, R5",0603 RES,
30kΩ 1% 0603,"R9, R11, R14, R24_1, R24_2, R25_1, R25_2, R40_1, R40_2, R41_1, R41_2",0603 RES,
510Ω 1% 0603,"R18_1, R18_2, R28_1, R28_2, R34_1, R34_2, R44_1, R44_2",0603 RES,
1kΩ 1% 0603,"R1, R19_1, R19_2, R26_1, R26_2, R35_1, R35_2, R42_1, R42_2",0603 RES,
10MΩ 1% 0603,"R20_1, R20_2, R36_1, R36_2",0603 RES,
5.1kΩ 1% 0603,"R21_1, R21_2, R37_1, R37_2",0603 RES,
RV9012NO-PA25B7.0 Tall Trimmer 10k,"R29_1, R29_2, R45_1, R45_2",9MM_POT,
TL072D,U1,SOIC-8/150mil,
EUROPWR-10p,U2,10P_euro_power,
TL074PW,"U3, U6_1, U6_2, U8_1, U8_2",TSSOP-14,
PTA2043-2015DPB103,"U4_1, U4_2, U7_1, U7_2",PTA2043,
V2164,"U5_1, U5_2",SOIC-16/150mil,
