Comment,Designator,Footprint,LCSC Part #（optional）
10uF,"C1, C3",CAP_1206,
100nF,"C2, C4, C5, C6, C7, C8, C9, C10, C12, C13, C14, C15",0603 CAP,
560pF,"C11, C16",0603 CAP,
1N4148WS,"D1, D2, D4, D5, D7, D8",SOD-323,
CJ431,D3,SOT23,
VAOL-3LAE2,"D6, D9",LEDT1,
EUROPWR-10p,J1,10P_euro_power,
B2B-ZR,J2,B2B-ZR(LF)(SN),
B2B-ZR,J3,B2B-ZR(LF)(SN),
WQP-WQP518MA,"J4, J5, J6, J7, J8, J9",Thonkiconn Jack,
WQP-PJ301M-12,"J5, J8",Thonkiconn Jack,
WQP-PJ301M-12,"J6, J9",Thonkiconn Jack,
LM13700,OTA1,SOIC-16/150mil,
MMBT3906,"Q1, Q2",SOT23,
1k,"R1, R15, R20, R34, R39",0603 RES,
10k,"R2, R3, R8, R29",0603 RES,
P0915N-EC15BR100K,"R4, R23, R12, R32",P09x5N,
100k,"R5, R6, R7, R9, R10, R11, R13, R24, R25, R26, R27, R28, R30, R33",0603 RES,
13k,"R14, R19, R31, R38",0603 RES,
8.2k,"R16, R35",0603 RES,
RV9012NO-PA25B7.0 Tall Trimmer 10k,"R17, R36",EVUF,
51k,"R18, R37",0603 RES,
1.5k,"R21, R22, R40, R41",0603 RES,
LM321,"U1, U3",SOT23-5,
TL074PW,"U2, U4",TSSOP-14,
