Designator,Mid X,Mid Y,Layer,Rotation
C1,-8.89,-26.035,Bottom,270.0
C2,-11.271,-25.242,Bottom,90.0
C3,-8.89,-33.02,Bottom,270.0
C4,-11.271,-33.814,Bottom,90.0
C5,-23.654,43.713,Bottom,270.0
C6,-21.114,47.205,Bottom,90.0
C7,4.763,34.132,Bottom,270.0
C8,-10.954,30.797,Bottom,90.0
C9,-4.763,34.131,Bottom,90.0
C10,-24.606,31.75,Bottom,180.0
C11,-19.208,37.941,Bottom,180.0
C12,4.127,39.687,Bottom,0.0
C13,0.794,42.386,Bottom,180.0
C14,24.798,31.75,Bottom,180.0
C15,11.78,30.957,Bottom,270.0
C16,14.129,37.782,Bottom,180.0
D1,-5.112,-24.448,Bottom,0.0
D2,-5.08,-34.607,Bottom,180.0
D3,-21.272,-23.019,Bottom,270.0
D4,-13.017,27.94,Bottom,180.0
D5,-11.112,36.83,Bottom,270.0
D6,-7.62,38.1,Top,180.0
D7,14.605,27.94,Bottom,0.0
D8,19.685,36.513,Bottom,270.0
D9,22.86,38.1,Top,180.0
J1,0,-29.845,Bottom,180.0
J2,-24.791,48.26,Bottom,90.0
J3,15.425,48.26,Bottom,270.0
J4,-22.86,29.921,Top,180.0
J5,-7.62,29.921,Top,180.0
J6,-7.62,45.161,Top,180.0
J7,7.62,29.921,Top,180.0
J8,22.86,29.921,Top,180.0
J9,22.86,45.161,Top,180.0
OTA1,0,31.115,Bottom,0.0
Q1,-5.715,21.59,Bottom,0.0
Q2,13.176,20.637,Bottom,90.0
R1,-15.24,-24.448,Bottom,0.0
R2,-18.415,-23.336,Bottom,270.0
R3,-21.273,-19.367,Bottom,0.0
R4,-15.24,-13.515,Top,180.0
R5,-14.922,-4.445,Bottom,270.0
R6,-22.702,28.893,Bottom,0.0
R7,-18.574,27.94,Bottom,0.0
R8,-10.16,24.448,Bottom,0.0
R9,-18.415,46.729,Bottom,270.0
R10,-18.415,43.522,Bottom,270.0
R11,-10.477,26.988,Bottom,270.0
R12,-15.24,-43.995,Top,180.0
R13,-17.621,24.288,Bottom,90.0
R14,-26.511,37.783,Bottom,270.0
R15,-4.763,38.894,Bottom,270.0
R16,-3.333,23.336,Bottom,180.0
R17,-7.62,14.047,Top,0.0
R18,-6.35,31.591,Bottom,180.0
R19,-19.209,35.401,Bottom,0.0
R20,-7.779,46.99,Bottom,270.0
R21,-6.35,30.321,Bottom,0.0
R22,-6.35,29.051,Bottom,0.0
R23,15.24,-13.515,Top,180.0
R24,15.24,-4.445,Bottom,270.0
R25,0.793,44.926,Bottom,0.0
R26,4.127,44.926,Bottom,0.0
R27,23.972,29.051,Bottom,180.0
R28,18.892,27.94,Bottom,180.0
R29,10.637,24.765,Bottom,180.0
R30,13.494,25.083,Bottom,270.0
R31,9.207,44.926,Bottom,0.0
R32,15.24,-43.995,Top,180.0
R33,17.621,24.606,Bottom,90.0
R34,25.718,39.053,Bottom,270.0
R35,8.255,21.749,Bottom,0.0
R36,22.86,14.047,Top,0.0
R37,6.985,31.591,Bottom,0.0
R38,14.128,35.242,Bottom,0.0
R39,22.86,47.308,Bottom,270.0
R40,6.985,30.321,Bottom,180.0
R41,6.985,29.051,Bottom,180.0
U1,-21.114,43.045,Bottom,270.0
U2,-16.669,31.75,Bottom,180.0
U3,4.636,42.386,Bottom,0.0
U4,17.78,31.75,Bottom,180.0
