"#";"RefDes";"Name";"Value";"Pattern";"Quantity"
"1";"C1, C2, C7, C8, C10, C11, C16, C17, C18";"0603C*";"100nF";"0603 CAP";"9"
"2";"C3";"0603C*";"10u";"0603 CAP";"1"
"3";"C5, C6";"0603C*";"220p";"0603 CAP";"2"
"4";"C12, C13";"0603C*";"10p";"0603 CAP";"2"
"5";"C14, C15";"1206C*";"10uF";"CAP_1206";"2"
"6";"D1, D8";"CJ431";"";"SOT23";"2"
"7";"D2, D3, D5, D6, D7, D9";"1N4148WS";"";"SOD-323";"6"
"8";"D4";"LEDT1";"";"LEDT1";"1"
"9";"IC1";"SMT_LM13700";"";"SOIC-16/150mil";"1"
"10";"J1";"Thonkiconn";"PING";"Thonkiconn Jack";"1"
"11";"J2";"Thonkiconn";"CV";"Thonkiconn Jack";"1"
"12";"J3";"Thonkiconn";"HI";"Thonkiconn Jack";"1"
"13";"J4";"Thonkiconn";"BAND";"Thonkiconn Jack";"1"
"14";"J5";"Thonkiconn";"INPUT";"Thonkiconn Jack";"1"
"15";"J6";"Thonkiconn";"LOW";"Thonkiconn Jack";"1"
"16";"Q1, Q3";"MMBT3904";"";"SOT23";"2"
"17";"Q2";"MMBT3906";"";"SOT23";"1"
"18";"R1";"P09x5N";"VCF_KHZ";"P09x5N";"1"
"19";"R2, R4";"0603R*";"75k";"0603 RES";"2"
"20";"R3";"P09x5N";"VCF_CV_AMT";"P09x5N";"1"
"21";"R5, R6, R11, R16, R17, R20, R21, R32, R33, R36, R37";"0603R*";"100k";"0603 RES";"11"
"22";"R7, R9";"0603R*";"2k";"0603 RES";"2"
"23";"R8";"0603R*";"200k";"0603 RES";"1"
"24";"R10, R13, R19, R27, R42";"0603R*";"1k";"0603 RES";"5"
"25";"R12";"0603R*";"1MEG";"0603 RES";"1"
"26";"R14";"0603R*";"0R";"0603 RES";"1"
"27";"R15, R18";"0603R*";"8.2k";"0603 RES";"2"
"28";"R22, R23, R24, R25";"0603R*";"220R";"0603 RES";"4"
"29";"R26";"P09x5N";"VCF_RES";"P09x5N";"1"
"30";"R28, R29, R30, R43, R44";"0603R*";"10k";"0603 RES";"5"
"31";"R34, R35";"0603R*";"47k";"0603 RES";"2"
"32";"U1";"EUROPWR-10p";"10P_TH_2.54";"10P_euro_power";"1"
"33";"U2";"TL072";"";"SOIC-8/150mil";"1"
"34";"U5";"TL074PW";"";"TSSOP-14";"1"
"35";"Z1, Z2";"MM3Z5V1ST1G";"5.1V";"SOD-323";"2"
