Comment,Designator,Footprint,LCSC Part #（optional）,
100nF 0603,"C1, C2, C7, C8, C10, C11, C16, C17, C18",0603 CAP,,
10uf 0603,C3,0603 CAP,,
220pf 0603,"C5, C6",0603 CAP,,
10pf 0603,"C12, C13",0603 CAP,,
10uF 1206,"C14, C15",CAP_1206,,
CJ431,"D1, D8",SOT23,,
1N4148WS,"D2, D3, D5, D6, D7, D9",SOD-323,,
LEDT1,D4,LEDT1,,
SMT_LM13700,IC1,SOIC-16/150mil,,
MMBT3904,"Q1, Q3",SOT23,,
MMBT3906,Q2,SOT23,,
75kΩ 0603 1%,"R2, R4",0603 RES,,
100kΩ 0603 1%,"R5, R6, R11, R16, R17, R20, R21, R32, R33, R36, R37",0603 RES,,
2kΩ 0603 1%,"R7, R9",0603 RES,,
200kΩ 0603 1%,R8,0603 RES,,
1kΩ 0603 1%,"R10, R13, R19, R27, R42",0603 RES,,
1MEG 0603 1%,R12,0603 RES,,
0R 0603,R14,0603 RES,,
8.2kΩ 0603 1%,"R15, R18",0603 RES,,
220R 0603 1%,"R22, R23, R24, R25",0603 RES,,
10kΩ 0603 1%,"R28, R29, R30, R43, R44",0603 RES,,
47kΩ 0603 1%,"R34, R35",0603 RES,,
EUROPWR-10p,U1,10P_euro_power,,
TL072,U2,SOIC-8/150mil,,
TL074PW,U5,TSSOP-14,,
MM3Z5V1ST1G,"Z1, Z2",SOD-323,,
