Designator,Mid X,Mid Y,Layer,Rotation
C1,29.58,82.209,Bottom,270.0
C2,19.261,82.209,Bottom,270.0
C3,34.343,89.67,Bottom,270.0
C5,20.69,87.447,Bottom,0.0
C6,28.31,87.447,Bottom,180.0
C7,33.39,57.285,Bottom,180.0
C8,18.308,61.095,Bottom,0.0
C10,28.152,96.179,Bottom,180.0
C11,21.801,97.608,Bottom,0.0
C12,14.022,79.51,Bottom,0.0
C13,34.978,79.51,Bottom,180.0
C14,24.659,39.188,Bottom,270.0
C15,24.659,32.203,Bottom,270.0
C16,26.722,39.346,Bottom,90.0
C17,26.722,29.662,Bottom,90.0
C18,15.292,92.527,Bottom,0.0
D1,29.104,30.774,Bottom,270.0
D2,17.832,93.004,Bottom,90.0
D3,19.261,96.655,Bottom,270.0
D4,32.12,85.86,Top,0.0
D5,35.136,84.749,Bottom,270.0
D6,21.325,40.775,Bottom,180.0
D7,21.484,30.615,Bottom,0.0
D8,28.31,41.727,Bottom,270.0
D9,12.594,96.179,Bottom,180.0
IC1,24.341,79.192,Bottom,0.0
J1,16.88,92.921,Top,180.0
J2,16.88,77.681,Top,180.0
J3,16.88,108.161,Top,180.0
J4,32.12,92.921,Top,180.0
J5,32.12,77.681,Top,180.0
J6,32.12,108.161,Top,180.0
Q1,31.961,67.445,Bottom,0.0
Q2,35.771,66.493,Bottom,0.0
Q3,16.245,95.226,Bottom,270.0
R1,24.5,19.005,Top,180.0
R2,23.707,22.043,Bottom,180.0
R3,24.5,64.725,Top,180.0
R4,21.801,65.222,Bottom,0.0
R5,30.373,59.825,Bottom,0.0
R6,33.707,59.825,Bottom,0.0
R7,19.738,58.238,Bottom,270.0
R8,33.548,63.159,Bottom,0.0
R9,30.692,92.369,Bottom,180.0
R10,17.674,110.308,Bottom,180.0
R11,26.563,85.701,Bottom,0.0
R12,22.278,85.701,Bottom,180.0
R13,32.914,96.02,Bottom,180.0
R14,29.738,55.38,Bottom,0.0
R15,19.42,73.795,Bottom,270.0
R16,36.247,82.526,Bottom,0.0
R17,22.437,94.433,Bottom,180.0
R18,29.58,73.637,Bottom,270.0
R19,29.739,111.26,Bottom,90.0
R20,14.022,77.922,Bottom,0.0
R21,34.978,77.922,Bottom,180.0
R22,14.022,81.256,Bottom,0.0
R23,14.022,76.335,Bottom,0.0
R24,34.978,81.097,Bottom,180.0
R25,34.978,76.335,Bottom,180.0
R26,24.5,49.485,Top,180.0
R27,24.5,28.71,Bottom,0.0
R28,21.801,52.681,Bottom,0.0
R29,27.517,33.472,Bottom,180.0
R30,31.485,30.456,Bottom,90.0
R32,19.42,93.162,Bottom,90.0
R33,12.752,93.798,Bottom,270.0
R34,21.802,67.763,Bottom,180.0
R35,25.294,67.763,Bottom,180.0
R36,13.387,98.242,Bottom,0.0
R37,14.499,89.67,Bottom,270.0
R42,24.342,42.839,Bottom,180.0
R43,28.31,44.426,Bottom,0.0
R44,30.85,41.251,Bottom,90.0
U1,16.563,35.377,Bottom,180.0
U2,24.659,59.19,Bottom,0.0
U5,24.5,90.781,Bottom,180.0
Z1,29.421,52.681,Bottom,0.0
Z2,25.294,52.681,Bottom,180.0
