Comment,Designator,Footprint,LCSC Part #（optional）,
C241J474J2SA201,"C2_1, C2_2, C2_3",C241J474J2SA201,,
100nF,"C3, C4, C5, C7_1, C7_2, C7_3, C8_1, C8_2, C8_3",0603 CAP,,
10n,"C6_1, C6_2, C6_3",0603 CAP,,
10uF,"C14, C15",CAP_1206,,
1N4148WS,"D2_1, D2_2, D2_3, D6, D7",SOD-323,,
Thonkiconn,"J1_1, J1_2, J1_3",Thonkiconn Jack,,
Thonkiconn,"J2_1, J2_2, J2_3",Thonkiconn Jack,,
Thonkiconn,"J7_1, J7_2, J7_3",Thonkiconn Jack,,
MMBFJ112,"Q1_1, Q1_2, Q1_3",SOT23,,
1MΩ 0603 1%,"R1_1, R1_2, R1_3, R2_1, R2_2, R2_3, R3_1, R3_2, R3_3",0603 RES,,
10kΩ 0603 1%,"R4_1, R4_2, R4_3, R6_1, R6_2, R6_3",0603 RES,,
1kΩ 0603 1%,"R5_1, R5_2, R5_3, R7_1, R7_2, R7_3, R8, R18",0603 RES,,
100kΩ 0603 1%,"R9, R10, R11, R20, R21",0603 RES,,
5.1kΩ 0603 1%,R12,0603 RES,,
EUROPWR-10p,U1,10P_euro_power,,
TL072,U4,SOIC-8/150mil,,
TL074,"U7_1, U7_2, U7_3",TSSOP-14,,
