Designator,Mid X,Mid Y,Layer,Rotation
C3,23.547,37.378,Bottom,0.0
C4,11.165,58.332,Bottom,90.0
C5,14.657,70.398,Bottom,270.0
C14,33.708,22.772,Bottom,270.0
C15,33.708,16.422,Bottom,270.0
C2_1,13.07,40.235,Bottom,90.0
C2_2,28.31,70.715,Bottom,90.0
C2_3,13.07,101.195,Bottom,90.0
C6_1,20.373,27.853,Bottom,180.0
C6_2,35.613,58.332,Bottom,180.0
C6_3,20.373,88.812,Bottom,180.0
C7_1,17.515,38.965,Bottom,270.0
C7_2,32.755,69.445,Bottom,270.0
C7_3,17.515,99.925,Bottom,270.0
C8_1,17.832,26.9,Bottom,90.0
C8_2,33.073,57.38,Bottom,90.0
C8_3,17.833,87.86,Bottom,90.0
D6,29.58,25.313,Bottom,180.0
D7,29.58,15.153,Bottom,0.0
D2_1,12.753,26.582,Bottom,180.0
D2_2,27.993,57.062,Bottom,180.0
D2_3,12.753,87.542,Bottom,180.0
J1_1,32.12,33.026,Top,180.0
J1_2,16.88,63.506,Top,180.0
J1_3,32.12,93.986,Top,180.0
J2_1,16.88,18.721,Top,180.0
J2_2,32.12,49.201,Top,180.0
J2_3,16.88,79.681,Top,180.0
J7_1,16.88,49.201,Top,180.0
J7_2,32.12,79.681,Top,180.0
J7_3,16.88,110.161,Top,180.0
Q1_1,12.752,32.615,Bottom,180.0
Q1_2,27.993,63.095,Bottom,180.0
Q1_3,12.753,93.575,Bottom,180.0
R8,11.165,75.16,Bottom,270.0
R9,12.117,70.715,Bottom,270.0
R10,14.023,73.573,Bottom,180.0
R11,23.547,42.457,Bottom,0.0
R12,23.548,39.917,Bottom,180.0
R18,17.198,62.46,Bottom,180.0
R20,12.752,58.333,Bottom,270.0
R21,12.752,55.157,Bottom,90.0
R1_1,12.752,29.758,Bottom,0.0
R1_2,27.992,60.237,Bottom,0.0
R1_3,12.752,90.717,Bottom,0.0
R2_1,17.833,21.185,Bottom,180.0
R2_2,33.073,51.665,Bottom,180.0
R2_3,17.833,82.145,Bottom,180.0
R3_1,32.12,34.837,Bottom,90.0
R3_2,16.88,65.635,Bottom,90.0
R3_3,32.12,95.797,Bottom,90.0
R4_1,23.547,30.392,Bottom,90.0
R4_2,36.883,69.763,Bottom,270.0
R4_3,23.548,91.352,Bottom,90.0
R5_1,16.88,51.348,Bottom,270.0
R5_2,32.12,81.828,Bottom,270.0
R5_3,16.88,112.308,Bottom,270.0
R6_1,21.008,30.393,Bottom,270.0
R6_2,36.248,60.873,Bottom,270.0
R6_3,21.008,91.353,Bottom,270.0
R7_1,15.928,38.965,Bottom,270.0
R7_2,31.168,69.445,Bottom,270.0
R7_3,15.928,99.925,Bottom,270.0
U1,24.5,19.915,Bottom,180.0
U4,12.911,64.364,Bottom,270.0
U7_1,17.515,32.615,Bottom,270.0
U7_2,32.755,63.095,Bottom,270.0
U7_3,17.515,93.575,Bottom,270.0
